id|name
0100E4F01A076000|A Space for the Unbound
010058800E608000|AI: THE SOMNIUM FILES
0100A0A016D50000|AI: THE SOMNIUM FILES - nirvanA Initiative
01008D20151DE000|Alex Kidd in Miracle World DX
01006370187F2000|ANONYMOUS;CODE
0100C56012C96000|ARKANOID vs SPACE INVADERS
0100B1F00660E000|Axiom Verge
01003C100655A000|Azure Striker Gunvolt: Striker Pack
0100CE800B94A000|Banner Saga Trilogy
0100D1B01493E000|Blasphemous
010024400CAD6000|Bomber Crew Complete Edition
010060200A4BE000|Brawlout
0100C0200A4C0000|Brawlout
010068D00B3F6000|Broken Sword 5 - the Serpent's Curse
01002DB00BC26000|Candle The Power of the Flame
0100B4601B0E4000|Coffee Talk Episode 2: Hibiscus & Butterfly
010060700EFBA000|Cooking Mama: Cookstar
0100BD100EB24000|Cooking Mama: Cookstar
0100094014BE4000|Cotton Guardian Force Saturn Tribute
0100B0400EBC4000|Cris Tales
0100FAF015212000|Crysis Remastered
0100AA100D7EC000|Cytus α
01003A3016190000|Danganronpa 2 Goodbye Despair Anniversary Edition
0100D0E01618C000|Danganronpa S Ultimate Summer Camp
0100A3301618E000|Danganronpa Trigger Happy Havoc Anniversary Edition
010083A016192000|Danganronpa V3 Killing Harmony Anniversary Edition
010065300BDF2000|Darius Cozmic Collection
010059C00BED4000|Darius Cozmic Collection Special Edition
010083B00989C000|Darkest Dungeon: Ancestral Edition
01008A700989A000|Darkest Dungeon: Ancestral Edition
01008480187C6000|DARQ Ultimate Edition
010006000F85E000|DEADLY PREMONITION Origins
0100A9200F300000|DEADLY PREMONITION Origins
0100E6F00C310000|Death Road to Canada
010063D00C0F2000|Deemo
01005FF017AB2000|Delicious! Pretty Girls Mahjong Solitaire
01001DA015650000|Demon Throttle
010035D00A190000|Dimension Drive
0100834011134000|Dungeon of the Endless
0100235015C56000|Eastward
010061F00D0C6000|Fairune Collection
0100ACE0165EE000|Fall Guys: Ultimate Knockout
0100ECD00C806000|Farm Expert 2019 for Nintendo Switch
0100D33015304000|Farm For Your Life
010041E01A3A2000|Fitness Circuit
01005650089A0000|Flipping Death
01000EC00AF98000|Furi - Definitive Edition
0100B8000C2EA000|Gal Metal
010006600BF1E000|Gal Metal World Tour Edition
01002C400B062000|Gal*Gun 2
01005EA00A57E000|Golf Story
010093B014664000|GRANDIA HD Collection
01004D800DC16000|GUNBARICH for Nintendo Switch
01008700175AA000|Hidden Objects Collection - Volume 2
0100D8501915A000|Hidden Objects Collection - Volume 4
0100AAF0175A8000|Hidden Objects Collection Volume 2
0100D0E010EB0000|Holy Potatoes! We're in Space?!
01000B8010EAC000|Holy Potatoes! What the Hell?!
0100F0700DECC000|Horizon Chase Turbo
010008A014A22000|Horse Club Adventures
0100EB50121D2000|House Flipper
0100A8F01154E000|JUST DANCE 2020
010020F01272A000|KAMEN RIDER memory of heroez DIGITAL ART COLLECTION
0100E5D00F4AE000|LA-MULANA 1 & 2
0100526011AEE000|La-Mulana 1&2
01001BD010D3C000|Little Town Hero
0100B6F010E44000|Little Town Hero
0100128005B42000|Lost Castle
010053A0117F2000|Made in Abyss: Binary Star Falling into Darkness
010079A009B7A000|Max: The Curse Of Brotherhood
0100726014BF4000|MELTY BLOOD ARCHIVES
0100D5000B988000|Mercenaries Saga Chronicles
01004DD01C6F6000|MINABO: A Walk Through Life
010056900EBA2000|Ministry of Broadcast
01008CF014560000|Monster World IV
0100B7F00BB54000|Mutant Mudds Collection
